date,precio,vol_30d,cum_ret_30d,dist_sma50,drawdown,cluster_km,estado_hmm,estado_hmm_causal
2018-10-22,204.04400634765625,4.0563871836620935,-13.863236604924417,-6.633098872924037,-80.31964055787422,0,0,1
2018-10-23,204.33599853515625,4.039516816928668,-15.321101353080275,-5.767124616187925,-80.29147746057401,0,0,1
2018-10-24,203.8520050048828,3.884199382605579,-9.173153077523082,-5.275036326748051,-80.33815938382158,2,0,2
2018-10-25,202.718994140625,3.8044044592338553,-5.258621489218445,-5.541569476478447,-80.44744003096999,2,0,2
2018-10-26,203.32899475097656,3.800169245795288,-3.741261751405539,-5.019356697273569,-80.38860453030264,2,0,2
2018-10-27,204.2100067138672,3.6309000039142516,-9.167212290908349,-4.491876215878521,-80.30362956626004,2,0,2
2018-10-28,205.36599731445312,3.6063105010289087,-5.934975263754432,-4.017796970637722,-80.19213248806365,2,0,2
2018-10-29,197.2469940185547,3.572679002452295,-14.03989875349369,-7.815170522928538,-80.97522289113503,2,0,2
2018-10-30,197.5559997558593,3.569793369742188,-14.406913661125891,-7.674870866238603,-80.94541881068842,2,0,2
2018-10-31,197.3809967041016,3.569605901061056,-13.602210317555091,-7.862710808507412,-80.96229812522311,2,0,2
2018-11-01,198.8719940185547,3.5699498879440954,-11.29244245540309,-7.301211632167249,-80.81848913224694,2,0,2
2018-11-02,200.634994506836,3.5433088500544216,-7.460272857827503,-6.385890500473912,-80.64844501320086,2,0,2
2018-11-03,200.18600463867188,3.5379522549588875,-8.468225163306247,-6.494488769107454,-80.69175077919472,2,0,2
2018-11-04,207.48599243164065,3.577067591253768,-7.244016714362205,-2.943379587941186,-79.98765568588443,2,0,2
2018-11-05,209.09100341796875,3.578004340459112,-5.380398471315322,-2.0872725264128755,-79.83284989822667,2,0,2
2018-11-06,218.4519958496093,3.6766380197770796,-1.3471710795656051,2.0995135709817703,-78.92996772546726,2,0,2
2018-11-07,217.18299865722656,3.6677558457222585,-3.3149564915917518,1.4380670584830169,-79.05236446391686,2,0,2
2018-11-08,212.2310028076172,3.6884289698248005,-5.039778055117521,-0.8957659696914755,-79.52999210915226,2,0,2
2018-11-09,210.07400512695312,3.688780979794458,-5.085432779059189,-1.7698273899753092,-79.73803786570818,2,0,2
2018-11-10,212.5330047607422,2.1482155317206693,12.150202097087211,-0.3025240854512723,-79.50086355450313,2,0,2
2018-11-11,211.33999633789065,2.055292314213901,7.774598883279978,-0.5903818440575637,-79.61593105881,2,0,2
2018-11-12,210.41799926757807,2.043475371089798,5.7554330409488506,-0.7072961861408711,-79.70485909974164,2,0,2
2018-11-13,206.8260040283203,2.0308639811386158,6.1130019031904475,-2.2001238055589734,-80.05131258636133,2,0,2
2018-11-14,181.39700317382807,2.7228674019716754,-13.329511626719507,-13.922418196192698,-82.50397897940327,2,0,2
2018-11-15,180.8059997558593,2.72028163160634,-13.85369326368631,-13.91658800152955,-82.56098217153493,2,0,2
2018-11-16,175.177001953125,2.7578620034101546,-15.521607884330171,-16.171010962390596,-83.10390770039362,2,0,2
2018-11-17,174.00100708007812,2.7474123174165674,-14.39123886377958,-16.3462567195219,-83.2173342215541,2,0,2
2018-11-18,177.06700134277344,2.77551762668871,-12.813592689608825,-14.423219784649488,-82.92161434123312,2,0,2
2018-11-19,149.1750030517578,3.928204458216078,-29.401737497449133,-27.31560833244695,-85.61184063972617,0,1,1
2018-11-20,130.33900451660156,4.461469138368621,-41.888325872400145,-35.865645367135876,-87.42860177992658,0,1,1
2018-11-21,136.7010040283203,4.604805935991478,-36.47197363311569,-32.130846309169556,-86.81497710453219,0,1,1
2018-11-22,126.70600128173828,4.728429804390524,-43.92665580551415,-36.50184251880798,-87.77901055103597,0,1,1
